company_id,priority,ltv_pred_lgb_clip,ltv_12m_actual,ltv_rank,monetary_12m,growth_rate_12m,frequency,n_unique_products,renewal_share_line,has_collab
comp_2717911b4fcd,VIP,444320.99037156306,2830000.0,1.0,1553000.0,62.12,22,7,0.8846153846153846,0
comp_8d2a338f8fd2,VIP,341507.229717937,744000.0,2.0,311000.0,0.8405405405405405,11,4,0.88,0
comp_561ee9bd5ef0,VIP,326689.229305187,552000.0,3.0,376000.0,1.1786833855799372,28,9,0.8085106382978723,0
comp_f53c509c3e3b,VIP,304445.22546049947,163000.0,4.0,175000.0,0.9259259259259259,9,5,0.9583333333333334,0
comp_d12d50a5ac36,VIP,290346.11082897446,244000.0,5.0,216000.0,1.0434782608695652,28,10,0.84,0
comp_e9c6c517e5a3,VIP,277004.71508002374,0.0,6.0,516000.0,1.5542168674698795,23,12,0.8484848484848485,0
comp_7b3e4c10b02c,VIP,274225.15419016156,397000.0,7.0,347000.0,1.0981012658227849,16,9,0.75,0
comp_22a516bd5fa2,VIP,257072.8283457504,57000.0,8.0,249000.0,0.4911242603550296,10,7,0.6551724137931034,0
comp_2661cea9a842,VIP,256707.5567830474,0.0,9.0,172000.0,0.0,16,5,0.6666666666666666,0
comp_53825f3f8106,VIP,249120.8265883501,18000.0,10.0,391000.0,2.057894736842105,3,2,0.8571428571428571,0
comp_fc0476ca4b12,VIP,246427.2980041106,252000.0,11.0,256000.0,1.610062893081761,13,6,0.8,0
comp_b481d9889d29,VIP,241159.47621948874,446000.0,12.0,203000.0,1.780701754385965,9,4,0.5454545454545454,0
comp_0d6635e556c7,VIP,237279.9012154528,184000.0,13.0,250000.0,1.6556291390728477,7,2,0.7666666666666667,0
comp_40741fd7c65f,VIP,231899.67230184982,0.0,14.0,130000.0,0.9219858156028369,15,8,0.8888888888888888,0
comp_138a2a5d1904,VIP,231845.35851208182,409000.0,15.0,179000.0,1.0406976744186047,5,6,0.7142857142857143,0
comp_2a9c194dc9aa,VIP,229544.0750200481,227000.0,16.0,257000.0,0.8426229508196721,4,4,0.5,0
comp_09e8d1774c6b,VIP,223534.44346022946,230000.0,17.0,231000.0,1.519736842105263,12,5,0.7857142857142857,0
comp_7d9ab7a9bf63,VIP,216105.4030316881,40000.0,18.0,342000.0,9.771428571428572,5,3,0.8125,0
comp_2363024f7f6e,VIP,215155.9497183243,140000.0,19.0,255000.0,0.625,67,7,0.9,0
comp_b15b42736e02,VIP,212182.538161919,294000.0,20.0,139000.0,0.8853503184713376,4,3,0.8181818181818182,0
comp_664d71a0367d,VIP,211406.9383984192,249000.0,21.0,184000.0,1.5206611570247934,10,5,0.9473684210526315,0
comp_e4e3ba3f25d9,VIP,210719.58401985513,0.0,22.0,214000.0,2.183673469387755,5,4,0.9090909090909091,0
comp_77fe4c514335,VIP,208818.40418108215,575000.0,23.0,10000.0,0.06666666666666667,15,5,0.9285714285714286,0
comp_c6ace0248c73,VIP,206298.266786521,244000.0,24.0,152000.0,1.0,8,4,0.96,0
comp_c4b6df696146,VIP,200786.43223256446,0.0,25.0,473000.0,0.6875,35,11,0.7934782608695652,0
comp_7f78e35d42ff,VIP,198693.78143046817,12000.0,26.0,324000.0,0.0,1,2,0.0,0
comp_d97aaa2d4f44,VIP,197873.35279338007,203000.0,27.0,281000.0,1.9246575342465753,49,4,0.7608695652173914,0
comp_b5e6e9100a6e,VIP,194062.54766758563,0.0,28.0,340000.0,1.0932475884244373,40,9,0.7560975609756098,0
comp_1b76c9855c35,VIP,192964.35753418744,0.0,29.0,228000.0,0.0,2,3,0.0,0
comp_32581df1fb02,VIP,192547.35082970656,172000.0,30.0,210000.0,1.3125,4,3,0.5384615384615384,0
comp_247f9c1e9862,VIP,192356.9217569332,204000.0,31.0,260000.0,1.1063829787234043,9,5,0.8636363636363636,0
comp_c050eeb339fc,VIP,188573.64712596315,294000.0,32.0,133000.0,0.0,1,2,0.0,0
comp_23008b95884e,VIP,183941.85609443818,243000.0,33.0,128000.0,0.0,1,2,0.0,0
comp_6eed8dbbf43a,VIP,182446.5914348737,0.0,34.0,209000.0,1.5714285714285714,23,8,1.0,0
comp_d5f04643227b,VIP,176548.93131013922,11000.0,35.0,180000.0,1.8181818181818181,8,4,0.7647058823529411,0
comp_5cfe6551cf90,VIP,173535.4541876362,124000.0,36.0,31000.0,0.13716814159292035,13,6,0.9090909090909091,0
comp_e12de5de6c75,VIP,168781.30630142847,30000.0,37.0,151000.0,1.2583333333333333,16,4,0.875,0
comp_a771fca6184d,VIP,164958.0316852042,168000.0,38.0,185000.0,2.9365079365079363,14,4,0.7916666666666666,0
comp_59c9d279ba8f,VIP,160582.89123366508,128000.0,39.0,138000.0,0.6731707317073171,11,6,0.9047619047619048,0
comp_e24792e290f0,VIP,160079.15628150236,112000.0,40.0,144000.0,0.0,2,2,0.0,0
comp_46dedaeb28d1,VIP,158258.8208298872,219000.0,41.0,194000.0,1.0777777777777777,5,4,0.5,0
comp_8bd188ba784c,VIP,155511.28318827134,64000.0,42.0,65000.0,0.0,6,5,0.46153846153846156,0
comp_0f70fc652cc2,VIP,152400.48606813146,85000.0,43.0,272000.0,13.6,10,2,0.9310344827586207,0
comp_535447f59805,VIP,152384.589968322,107000.0,44.0,158000.0,1.025974025974026,7,5,0.8421052631578947,0
comp_19d3b81c0ee4,VIP,151619.17503603996,210000.0,45.0,139000.0,0.42901234567901236,8,3,0.9393939393939394,0
comp_fb27697f3844,VIP,151022.03411140607,89000.0,46.0,155000.0,0.8201058201058201,59,4,0.7692307692307693,0
comp_9218845a7aaa,VIP,150938.8675266513,152000.0,47.0,140000.0,1.238938053097345,7,3,0.9473684210526315,0
comp_769e2878484a,VIP,150526.3003612488,0.0,48.0,276000.0,9.2,9,2,0.5666666666666667,0
comp_9a3c7891b8c7,VIP,148329.6785984785,90000.0,49.0,130000.0,0.65,56,2,0.8863636363636364,0
comp_ab8678b85cf6,VIP,142341.3309631083,147000.0,50.0,130000.0,1.1304347826086956,5,5,0.42857142857142855,0
comp_674908e94845,VIP,141120.05081674925,139000.0,51.0,139000.0,0.9205298013245033,23,6,0.9310344827586207,0
comp_6cf45bc58e18,VIP,139139.96614906957,290000.0,52.0,162000.0,1.1654676258992807,4,3,0.42857142857142855,0
comp_6b7a97f34615,VIP,137172.56807333187,157000.0,53.0,146000.0,1.2695652173913043,9,5,0.9565217391304348,0
comp_b10b788918c2,VIP,135860.8629301476,104000.0,54.0,152000.0,1.0857142857142856,4,2,0.8333333333333334,0
comp_dcb3faeecde0,VIP,134180.04784072802,81000.0,55.0,180000.0,0.0,6,2,0.8333333333333334,0
comp_8ef98a3a0391,VIP,130353.77535930047,68000.0,56.0,91000.0,1.0,2,2,0.5,0
comp_a442acd7fbda,VIP,129983.26916820102,142000.0,57.0,138000.0,2.816326530612245,7,5,0.8888888888888888,0
comp_d8da9fd218f9,VIP,129673.79776962384,70000.0,58.0,60000.0,0.35294117647058826,4,4,0.2,0
comp_5681f057cecb,VIP,126677.48789500358,143000.0,59.0,142000.0,4.303030303030303,20,4,0.8181818181818182,0
comp_54f3701b1ec2,VIP,125846.81711133866,141000.0,60.0,137000.0,1.957142857142857,3,3,0.8181818181818182,0
comp_3f526496d3a2,VIP,124745.36449390817,18000.0,61.0,18000.0,1.2857142857142858,8,6,0.8571428571428571,0
comp_c6d3fb841f60,VIP,122984.55228172442,258000.0,62.0,121000.0,1.1,17,7,0.96,0
comp_8079cd12026a,VIP,121055.97630473723,378000.0,63.0,62000.0,1.441860465116279,12,3,0.26666666666666666,0
comp_e77da929b992,VIP,120304.30645478812,171000.0,64.0,70000.0,0.0,3,4,0.0,0
comp_eb4b9de36171,VIP,108619.00391425239,132000.0,65.0,87000.0,0.925531914893617,5,4,0.7857142857142857,0
comp_bc3858feb75f,VIP,103739.4348929677,89000.0,66.0,64000.0,0.0,1,2,0.0,0
comp_cf66f5a7a225,VIP,102631.15187653246,0.0,67.0,0.0,0.0,1,2,0.0,0
comp_cb913358a404,VIP,102622.92791343521,0.0,68.0,77000.0,0.19948186528497408,34,5,0.9285714285714286,0
comp_42f1d86a1411,VIP,102491.79553074331,132000.0,69.0,70000.0,1.4893617021276595,15,6,0.9444444444444444,0
comp_2f4f8ace4e99,VIP,102298.89331331858,111000.0,70.0,99000.0,1.1927710843373494,8,4,0.9166666666666666,0
comp_24392d5d127e,VIP,102225.5938355038,134000.0,71.0,134000.0,0.0,2,3,0.0,0
comp_1f6ba3ac4682,VIP,101334.09572669968,98000.0,72.0,92000.0,0.647887323943662,50,2,0.7924528301886793,0
comp_519169db55a3,VIP,100581.15055343942,119000.0,73.0,123000.0,0.0,3,3,0.6666666666666666,0
comp_eee63a5b5b92,VIP,100467.75565441573,100000.0,74.0,100000.0,3.3333333333333335,13,1,0.08333333333333333,0
comp_35b3a82f79af,VIP,98313.23911141831,161000.0,75.0,80000.0,1.509433962264151,11,6,0.75,0
comp_15e2737e39c7,VIP,97450.59238820938,123000.0,76.0,72000.0,0.0,3,3,0.0,0
comp_03d7aef1b0c1,VIP,95954.36762647035,35000.0,77.0,38000.0,2.533333333333333,82,2,0.9318181818181818,0
comp_0aa5945078c3,VIP,95548.56840099773,94000.0,78.0,94000.0,1.3623188405797102,8,4,0.6428571428571429,0
comp_2e462a0696f7,VIP,95538.91598337327,83000.0,79.0,53000.0,0.4732142857142857,7,5,0.8333333333333334,0
comp_0a261364d50c,VIP,94478.90213346216,107000.0,80.0,96000.0,1.4328358208955223,14,4,0.9444444444444444,0
comp_86c075c9a2cc,VIP,94315.4621486065,110000.0,81.0,130000.0,1.1818181818181819,24,1,0.43478260869565216,0
comp_e80be60fdaae,VIP,93354.35377627713,90000.0,82.0,100000.0,1.6666666666666667,16,1,0.3125,0
comp_d5ce2feb8942,VIP,93329.69366418758,197000.0,83.0,67000.0,0.0,1,2,0.0,0
comp_f236f371ab19,VIP,92996.45034861831,30000.0,84.0,50000.0,0.625,77,2,0.5306122448979592,0
comp_c91c676b0a34,VIP,92517.7655257661,76000.0,85.0,74000.0,2.0,3,3,0.14285714285714285,0
comp_b438021903c0,VIP,92431.37369975107,108000.0,86.0,72000.0,1.3333333333333333,8,3,0.75,0
comp_5633f7e5c9d5,VIP,91812.07398942272,110000.0,87.0,70000.0,1.3725490196078431,12,1,0.3333333333333333,0
comp_b9f23ef657eb,VIP,91398.94697311154,17000.0,88.0,100000.0,0.6802721088435374,18,2,0.6756756756756757,0
comp_5d7f0d6a96d8,VIP,90511.02785220786,82000.0,89.0,11000.0,0.03323262839879154,44,2,0.5833333333333334,0
comp_22547e79565b,VIP,90455.75248872318,122000.0,90.0,116000.0,1.4146341463414633,6,3,0.7142857142857143,0
comp_2e24a5d07b00,VIP,89890.05409255857,65000.0,91.0,100000.0,0.6369426751592356,11,6,0.5625,0
comp_3d17a736af62,VIP,89637.73167652069,0.0,92.0,143000.0,3.575,13,4,0.5294117647058824,0
comp_29c461975f09,VIP,89208.74792125827,0.0,93.0,141000.0,0.0,1,2,0.0,0
comp_06196c65dd6d,VIP,89092.71737249491,57000.0,94.0,139000.0,1.3627450980392157,19,8,0.9117647058823529,0
comp_2687d8d66870,VIP,88973.98325473392,105000.0,95.0,129000.0,1.0932203389830508,13,4,0.8695652173913043,0
comp_50f8d69925a1,VIP,88818.56580817986,147000.0,96.0,112000.0,0.0,14,7,0.8421052631578947,0
comp_272c6c139d9b,VIP,88747.91735405663,33000.0,97.0,66000.0,1.32,5,1,0.5714285714285714,0
comp_612c7908ae16,VIP,87597.03265648172,57000.0,98.0,156000.0,3.5454545454545454,7,2,0.5263157894736842,0
comp_56f1a96b2358,VIP,87477.96015993597,121000.0,99.0,100000.0,1.1111111111111112,20,1,0.45,0
comp_4145e1d8cc99,VIP,87413.45767958411,50000.0,100.0,120000.0,12.0,14,1,0.14285714285714285,0
